Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDI02,OUT027,3138.9141
NCC55,OUT019,53.13084
FDR03,OUT018,3508.29994
FDB14,OUT017,1382.8000200000001
FDR45,OUT013,6123.0297
NCN07,OUT017,1918.1032199999997
FDM51,OUT019,205.46588000000003
FDT52,OUT027,7295.03744
FDL26,OUT046,3364.2873999999997
NCZ42,OUT046,4409.260499999999
DRI47,OUT019,471.0535
FDW40,OUT013,2911.8763
FDN34,OUT046,3166.2118999999993
FDS01,OUT035,3567.0900800000004
NCG55,OUT045,2122.9698799999996
FDC11,OUT035,1699.2547599999998
FDX35,OUT018,2461.99524
NCB06,OUT046,2102.39666
FDR09,OUT019,582.9744800000001
FDC53,OUT017,1198.50658
FDY45,OUT013,4753.54568
FDA22,OUT010,377.97466
FDE02,OUT035,1461.2978400000002
FDW21,OUT045,1520.4208800000001
FDV34,OUT046,1130.32866
FDS59,OUT049,2229.4312999999997
NCW17,OUT017,2097.8692199999996
NCK54,OUT046,2649.28478
FDG17,OUT019,639.36774
FDG35,OUT017,3212.4184199999995
FDD08,OUT010,81.02785999999999
NCO07,OUT017,4460.5271
FDJ10,OUT010,322.31378
FDW36,OUT017,1505.3072200000001
FDW21,OUT010,221.51165999999998
FDY19,OUT017,2443.08652
DRE03,OUT013,559.73806
NCC55,OUT049,899.3626399999997
FDH52,OUT010,131.29576
FDO09,OUT017,4217.44352
FDU43,OUT045,3595.1202599999997
FDX09,OUT010,414.1276
FDH40,OUT019,329.37125999999995
FDW58,OUT017,1711.2391599999999
FDC47,OUT017,4651.14564
NCR41,OUT035,1763.10498
DRG49,OUT035,4773.453100000001
FDC52,OUT027,3553.17486
FDY13,OUT046,1207.69462
FDY35,OUT013,890.1080199999999
FDI35,OUT017,3712.2344800000005
NCU18,OUT049,2091.87702
FDY33,OUT018,2343.4162599999995
FDC15,OUT027,3733.34034
FDU01,OUT049,3231.1274000000003
NCU42,OUT046,3407.8307200000004
NCV29,OUT018,2250.00452
NCY30,OUT017,3391.1191400000002
FDQ46,OUT049,1495.7862799999998
FDG58,OUT027,3019.86906
FDK33,OUT017,3677.7460399999995
NCD07,OUT045,1018.47426
NCX29,OUT027,3836.8056600000004
NCT42,OUT013,2075.2320200000004
DRN59,OUT035,897.29866
FDI44,OUT035,1176.40202
FDA45,OUT049,1916.90478
FDP31,OUT045,715.2689399999999
FDY01,OUT046,2021.8348599999997
FDT09,OUT018,2411.3944399999996
DRH03,OUT027,2611.46734
FDA36,OUT018,2250.67032
NCF31,OUT017,2001.26164
FDG14,OUT049,2928.9873599999996
FDG28,OUT027,7647.911440000001
FDU14,OUT049,3833.94272
FDY47,OUT019,263.92312000000004
FDI56,OUT049,1374.81042
DRD01,OUT013,537.10086
FDM22,OUT046,1072.13774
FDH33,OUT013,731.84736
DRZ24,OUT013,1744.52916
NCQ38,OUT046,1950.52768
FDO16,OUT027,2251.4027
FDU07,OUT027,3535.66432
NCB07,OUT013,2707.74202
FDU48,OUT045,1333.1313400000001
NCM43,OUT045,2639.09804
FDR31,OUT010,318.91819999999996
DRK49,OUT018,425.64594000000005
NCI30,OUT010,859.5477999999999
DRD60,OUT017,3084.85114
NCG19,OUT046,3775.8183799999997
FDH12,OUT035,1612.9005000000002
FDM32,OUT035,1996.0683999999997
FDM27,OUT035,2947.5631800000006
NCU53,OUT027,4610.065779999999
NCQ18,OUT046,1430.33814
FDS10,OUT013,2867.4008600000006
FDB33,OUT027,4841.6976
FDI12,OUT013,1428.2741600000004
NCW42,OUT013,4017.37062
NCC06,OUT018,2544.9539200000004
FDW02,OUT017,2315.3195
NCD43,OUT017,1595.65628
FDM57,OUT018,985.6503200000001
FDA58,OUT017,3188.0501400000003
FDK56,OUT046,3725.1509999999994
FDP52,OUT045,3445.3152600000003
FDW20,OUT018,1736.53956
FDS52,OUT049,1474.2143600000002
NCT29,OUT018,1433.06792
NCL54,OUT013,3896.7276600000005
FDC05,OUT045,2672.38804
FDF34,OUT035,3344.0470800000003
FDP03,OUT027,3145.83842
FDD32,OUT010,166.25026
FDZ10,OUT045,1503.64272
FDZ40,OUT035,1044.10756
FDD51,OUT018,401.61055999999996
NCY30,OUT019,297.41285999999997
FDP58,OUT017,3039.57674
FDV49,OUT017,5013.0079399999995
FDY24,OUT019,213.32232000000005
NCO55,OUT017,1698.9884399999999
FDR13,OUT017,1599.85082
FDS51,OUT017,908.4841
FDP26,OUT045,1279.40128
NCB54,OUT027,4482.56508
FDF32,OUT017,3008.35072
FDN31,OUT018,2361.6591799999997
DRM48,OUT017,789.43906
FDN20,OUT049,2996.29974
DRL01,OUT046,3113.9466
FDV56,OUT049,1215.7508
DRH13,OUT027,2684.10612
FDA03,OUT017,2656.808319999999
FDF47,OUT027,3750.3182399999996
FDX32,OUT046,3486.728020000001
FDX57,OUT049,1687.2037799999998
NCA30,OUT045,3828.6829
FDO49,OUT013,507.40617999999995
FDL04,OUT019,279.70257999999995
DRM48,OUT035,820.5984999999998
FDR16,OUT013,3818.56274
NCC19,OUT018,4682.637980000001
NCE42,OUT045,2606.607
FDY24,OUT017,1042.44306
FDH19,OUT049,1698.3892199999998
FDJ46,OUT013,2072.3025000000002
FDN45,OUT010,555.74326
FDY08,OUT035,2061.9826000000003
FDZ37,OUT035,1656.44382
NCT30,OUT045,948.0326200000002
DRY23,OUT018,409.20068
NCZ30,OUT018,1926.35914
FDC44,OUT018,1859.97888
FDB45,OUT035,1936.8121999999998
FDY04,OUT013,2194.41022
FDM27,OUT046,2842.8994199999997
FDZ43,OUT017,4368.51354
FDT39,OUT019,445.61994000000004
NCC06,OUT019,299.41026
FDL15,OUT027,3575.61232
FDL57,OUT017,6491.483420000001
FDU08,OUT046,1169.3445399999998
FDK40,OUT017,5235.185399999999
FDQ12,OUT010,692.3654199999999
FDS48,OUT017,3076.4620600000003
FDP09,OUT045,3929.81792
FDW21,OUT049,1550.7147799999998
FDY25,OUT035,3437.05934
DRE13,OUT017,1221.6764200000002
FDV43,OUT019,64.51602
FDD22,OUT045,2154.7951199999998
FDM46,OUT019,305.66878
NCO30,OUT010,319.91690000000006
FDM25,OUT046,2837.3732800000002
NCN41,OUT049,2192.94546
FDU24,OUT045,1954.7887999999998
FDZ50,OUT046,3168.67536
FDP45,OUT013,4062.44528
NCM54,OUT045,1561.4341600000002
FDW10,OUT019,441.29223999999994
FDP20,OUT017,1926.2925600000003
FDK32,OUT046,2760.53996
FDN52,OUT049,1272.2772199999997
FDM58,OUT045,2932.5161
FDZ46,OUT027,2447.3476400000004
NCA18,OUT018,1650.58478
FDD35,OUT046,2211.5212800000004
NCK31,OUT035,626.98386
FDI40,OUT027,2624.05096
FDT50,OUT019,227.63702000000004
NCT06,OUT046,2138.61618
FDT31,OUT035,2500.01242
FDT45,OUT049,813.47444
FDT13,OUT045,3185.1872
FDO50,OUT045,1255.89854
NCU18,OUT010,322.31378000000007
NCR54,OUT049,2412.72604
NCO18,OUT018,2251.136380000001
FDU09,OUT045,725.3225199999999
FDT13,OUT018,2959.74732
FDE09,OUT046,1894.6670600000002
NCK53,OUT019,294.8828199999999
FDG45,OUT049,3539.12648
DRH15,OUT035,649.4878999999999
FDO21,OUT019,613.6012800000001
FDD14,OUT027,6067.03592
FDC09,OUT046,1749.9221400000001
FDH45,OUT027,973.7325000000001
FDV32,OUT046,1537.59852
FDG12,OUT035,1909.2480799999998
FDS32,OUT013,1586.0687599999999
NCL55,OUT018,3362.29
DRE01,OUT035,3982.1498
DRE15,OUT049,1585.2698
NCL42,OUT045,3742.59496
FDP31,OUT013,593.3609600000001
FDN33,OUT018,864.4747200000002
FDZ59,OUT046,2362.9242
FDE45,OUT010,352.67426
FDJ07,OUT013,1594.6575800000003
FDQ45,OUT018,2514.5268600000004
FDM33,OUT027,4947.82612
FDO15,OUT010,158.85987999999998
FDM46,OUT013,1176.00254
FDR03,OUT045,3506.5022799999997
FDY49,OUT018,1824.22542
FDQ60,OUT045,1202.3016400000001
FDW10,OUT049,3265.68242
FDO51,OUT049,695.0286199999999
FDJ40,OUT018,1170.07692
FDS20,OUT018,1801.4550600000002
FDU45,OUT013,2056.5896199999997
FDV02,OUT035,2162.38524
FDN09,OUT046,3136.51722
NCM55,OUT027,3877.81894
FDN23,OUT018,2283.56084
FDY31,OUT010,449.14867999999996
FDW03,OUT010,300.47554
FDD14,OUT046,3758.1081000000004
FDV23,OUT017,2012.77998
DRI03,OUT045,2994.6352400000005
FDN13,OUT035,1796.7944599999998
FDF45,OUT027,1440.2585599999998
FDU46,OUT035,1659.1736
FDB57,OUT049,3082.05478
FDV12,OUT049,2040.0112000000001
FDQ58,OUT013,1109.2228
NCA18,OUT017,1266.8176600000002
FDH52,OUT049,835.77874
FDM24,OUT018,2553.27642
NCP43,OUT027,3270.6093399999995
NCO18,OUT019,580.97708
FDM32,OUT017,1190.65014
NCL07,OUT017,656.8117
FDK03,OUT013,5169.07146
FDP59,OUT017,1469.3540200000002
FDQ24,OUT049,4603.74068
FDQ16,OUT018,859.0151599999999
FDU44,OUT013,2145.00786
FDH28,OUT010,102.99926
FDV28,OUT019,78.63098000000001
FDM22,OUT045,1043.44176
FDR56,OUT046,3097.36818
FDV39,OUT049,3488.85858
FDU37,OUT019,270.38138000000004
FDQ11,OUT010,859.5478
FDX02,OUT045,3778.94764
NCS42,OUT018,1464.36052
FDY57,OUT027,2992.9041600000005
FDB21,OUT049,4375.83734
FDE28,OUT017,3017.0727
FDQ55,OUT017,2302.86904
FDA48,OUT049,3766.0311200000006
FDZ19,OUT045,2363.9229
NCC43,OUT045,2854.81724
NCV18,OUT046,2249.6050400000004
NCA42,OUT018,2968.2695599999997
FDY45,OUT046,3964.04004
NCC30,OUT045,3006.7527999999998
FDM57,OUT013,1671.89038
FDL09,OUT010,448.41630000000004
FDB09,OUT027,4611.19764
FDT44,OUT035,1707.777
NCT06,OUT027,3669.8896
FDX26,OUT049,4011.31184
FDK32,OUT013,2458.99914
DRA12,OUT046,2307.92912
FDO46,OUT010,561.2694
FDE52,OUT013,1485.33322
NCH42,OUT045,4679.10924
FDV08,OUT035,644.4943999999999
FDB47,OUT018,3429.0697400000004
FDC28,OUT010,158.26066
FDD22,OUT046,1958.65044
FDS07,OUT027,3777.2831400000005
DRI13,OUT045,3313.2871199999995
FDG32,OUT018,3684.67036
FDU14,OUT017,3758.97364
FDD28,OUT019,212.58994
NCP41,OUT017,1478.60864
FDS08,OUT049,2817.3327000000004
FDX47,OUT045,2083.48794
FDC53,OUT019,226.37199999999999
FDQ19,OUT035,3578.9413199999995
FDL14,OUT045,2230.0971
FDM33,OUT019,767.53424
FDA51,OUT045,1871.0977399999997
FDZ27,OUT018,270.64770000000004
FDT04,OUT046,618.3950400000001
DRC13,OUT049,1942.8709800000001
FDR16,OUT027,4428.568699999999
FDQ03,OUT027,6046.396119999999
FDE38,OUT035,2641.8944
DRH23,OUT027,1358.5649
FDT11,OUT019,726.85386
FDD09,OUT035,2514.7931799999997
FDR40,OUT045,1633.8066200000003
FDX07,OUT017,3358.0288800000003
FDR07,OUT035,1643.99336
FDA51,OUT017,1711.0394199999998
FDT59,OUT019,753.95192
FDF20,OUT017,2088.7477599999997
FDR13,OUT045,2083.35478
FDY26,OUT049,4832.1100799999995
FDW04,OUT017,2055.25802
FDK52,OUT017,4895.69398
FDN60,OUT049,3157.82282
FDM09,OUT019,427.31044
FDP46,OUT049,1199.90476
FDB50,OUT019,234.3616
NCQ29,OUT049,3620.75356
FDP16,OUT027,7033.511199999999
FDX33,OUT018,1630.47762
FDP07,OUT010,475.24803999999995
FDN22,OUT046,3678.5450000000005
FDF39,OUT049,4269.9751400000005
FDS21,OUT017,960.01702
NCM42,OUT013,1365.4226400000002
FDK50,OUT019,584.9718799999999
DRF13,OUT027,3573.81466
FDH35,OUT018,1251.90374
FDP60,OUT018,1479.0081200000002
DRJ49,OUT027,2952.95616
NCT42,OUT019,325.84252000000004
FDE38,OUT049,2664.5316
FDI04,OUT049,4479.102919999999
NCH54,OUT045,2066.90952
FDT56,OUT049,1086.3192800000002
DRD15,OUT018,3175.4665200000004
FDV58,OUT013,2720.92486
FDP21,OUT049,3978.42132
FDH05,OUT013,3846.59292
FDR10,OUT027,4638.82834
NCP06,OUT045,1983.15188
FDF33,OUT049,1343.9838799999998
DRK37,OUT013,2972.26436
DRH49,OUT045,1148.77132
FDT58,OUT013,2481.63634
FDD41,OUT018,1631.7426399999997
FDP40,OUT018,1817.4342599999995
FDM51,OUT027,2583.7700600000003
FDO45,OUT010,228.03650000000002
FDW33,OUT010,225.17356
FDY24,OUT045,1166.0821199999998
FDB10,OUT010,682.71132
FDM40,OUT035,1990.87516
NCI06,OUT017,4054.1893600000003
FDW12,OUT019,323.71196
FDX48,OUT027,3715.0974199999996
NCW05,OUT027,2517.2566399999996
FDX27,OUT017,1635.3379600000003
DRM37,OUT045,3433.1976999999997
FDA38,OUT045,3242.97864
FDR36,OUT046,646.42522
FDZ45,OUT046,3426.00706
FDG05,OUT017,2385.76114
FDK28,OUT013,5232.056139999999
FDV47,OUT045,1719.16218
FDN21,OUT045,3573.2820199999996
FDP20,OUT027,4027.690519999999
FDI35,OUT045,3587.86304
DRY23,OUT013,515.46236
FDA56,OUT017,2136.8851
FDB09,OUT013,1816.7018799999998
NCO26,OUT027,3399.37506
FDQ49,OUT018,2289.95252
FDI52,OUT027,3380.53292
FDZ44,OUT027,3195.3739400000004
FDZ09,OUT018,2686.9024799999997
FDY03,OUT049,2407.99886
NCG42,OUT017,1532.40528
DRI13,OUT027,7198.230119999998
FDQ32,OUT013,1767.2329399999999
FDW16,OUT035,893.3704399999999
FDU27,OUT046,909.1499
FDR28,OUT010,458.53646
FDQ49,OUT010,231.09918
FDS37,OUT046,1806.18224
FDW26,OUT018,2773.25674
FDX12,OUT018,3061.61472
NCP06,OUT013,2107.9893800000004
FDW45,OUT010,205.26614
NCN30,OUT049,1439.19328
FDN24,OUT049,773.19354
NCL41,OUT027,741.9675199999999
FDR02,OUT019,327.10754
FDD09,OUT010,525.91542
FDS33,OUT010,183.16158000000001
FDU22,OUT045,1772.2930200000003
FDI53,OUT013,2265.31792
DRH01,OUT049,2626.7807399999997
FDX32,OUT013,2370.3811600000004
NCP30,OUT018,490.29512000000005
FDB60,OUT045,2382.83162
FDB14,OUT049,1260.42598
NCP02,OUT035,761.2091399999999
FDJ10,OUT017,2409.9296799999997
FDG34,OUT046,1983.0187199999996
NCB18,OUT017,1524.28252
FDM16,OUT049,1023.8006600000001
FDW25,OUT018,1047.76946
FDB35,OUT010,172.77509999999998
DRN11,OUT013,1921.2324800000001
FDF41,OUT019,616.3310600000001
FDH16,OUT045,1256.0982800000002
NCQ50,OUT018,4014.57426
DRH23,OUT018,804.2864000000001
DRJ37,OUT013,2045.2710200000001
DRJ24,OUT027,6323.8349800000005
FDY16,OUT035,3495.0505200000007
FDQ27,OUT045,2042.8741400000004
FDZ33,OUT045,1495.8528600000002
FDF29,OUT045,2039.6783
FDA08,OUT049,2836.90722
FDG31,OUT046,1059.42096
FDE34,OUT019,470.32112000000006
NCR30,OUT027,1634.07294
FDV33,OUT035,4240.94626
DRZ24,OUT018,1407.96726
NCL54,OUT035,3068.13956
FDR12,OUT049,3083.0534799999996
NCC54,OUT046,4050.12798
DRN59,OUT013,870.06744
FDX50,OUT019,259.46226
FDV31,OUT027,4805.9441400000005
NCA29,OUT027,5180.5898
FDW60,OUT049,3306.96202
FDX08,OUT017,3990.40572
DRD49,OUT013,3775.9515400000005
FDD33,OUT046,3368.5485199999994
FDW35,OUT013,660.8064999999999
FDJ36,OUT017,1810.90942
FDV51,OUT035,3486.86118
FDW36,OUT046,1376.07544
FDH35,OUT046,1828.55312
NCS30,OUT027,2685.2379799999994
FDN49,OUT017,655.1472
FDL08,OUT018,2235.02402
FDI09,OUT013,3484.4642999999996
FDP19,OUT018,2129.7610399999994
FDU21,OUT010,123.57248
NCP41,OUT045,975.66332
FDY10,OUT013,2000.3960999999995
FDP12,OUT018,365.19130000000007
NCN26,OUT049,1395.31706
FDK44,OUT013,3112.2821000000004
FDC28,OUT049,1399.5116
FDJ41,OUT027,6688.02758
NCT29,OUT035,2757.2109599999994
NCH42,OUT019,444.7544
FDU60,OUT018,2715.73162
FDS02,OUT045,3443.5841799999994
FDC51,OUT046,2557.4709599999996
FDU03,OUT013,3338.4543600000006
FDX39,OUT045,4128.89212
NCY05,OUT010,73.43773999999999
NCL06,OUT027,6923.92052
FDD32,OUT035,854.95378
NCN41,OUT045,1488.7287999999999
NCX53,OUT049,3163.8150200000005
FDU57,OUT019,275.24172
FDQ23,OUT046,1423.7467200000003
FDQ52,OUT045,5702.976480000001
FDC14,OUT045,494.22334
FDY09,OUT035,2234.4248
FDQ28,OUT045,2057.18884
FDV25,OUT046,4997.22848
FDJ07,OUT035,2280.63132
DRB25,OUT049,1803.25272
FDK52,OUT019,849.4276400000001
FDY52,OUT027,1620.69036
FDB28,OUT046,2218.1127
FDT36,OUT035,782.04868
FDV25,OUT017,4289.349919999999
NCN07,OUT027,3775.2857400000003
FDC57,OUT017,2787.83776
FDQ03,OUT018,3462.8923800000002
FDU23,OUT017,3183.38954
NCX41,OUT035,3864.17004
NCD06,OUT035,738.0393
FDW08,OUT045,1840.47094
NCU29,OUT017,2475.51098
NCE06,OUT013,1799.7239800000002
FDV52,OUT010,215.91893999999996
FDB02,OUT017,3242.9120599999997
NCR18,OUT045,808.41436
FDK16,OUT049,1565.89502
NCQ29,OUT010,487.0327000000001
FDZ01,OUT019,214.7205
FDW27,OUT035,2117.31058
FDD17,OUT018,3190.6467600000005
FDW39,OUT013,2289.1535599999997
DRH59,OUT045,1091.3793600000001
FDS52,OUT013,1149.63686
FDU40,OUT027,4546.615040000001
NCF54,OUT013,1719.9611400000006
FDH46,OUT045,1590.66278
NCP14,OUT049,1722.5577600000001
FDH50,OUT049,4023.4294
DRF15,OUT010,276.17384
FDV27,OUT027,2322.3104
NCJ06,OUT049,1899.4608200000002
FDN02,OUT018,4124.56442
FDQ51,OUT049,918.4045199999998
FDQ07,OUT017,4412.19002
FDS45,OUT049,1922.4975
NCJ06,OUT045,2263.0541999999996
FDD36,OUT035,1710.4401999999998
FDY25,OUT045,3764.3000399999996
FDU52,OUT046,2339.15514
DRK47,OUT017,4213.91478
NCL30,OUT017,2250.47058
FDN22,OUT035,4468.4501199999995
NCF30,OUT027,2708.94046
FDK03,OUT035,4726.5142
FDT45,OUT017,872.39774
NCC54,OUT027,7159.813459999999
FDP08,OUT018,2842.6331
FDU44,OUT046,2940.63886
DRG39,OUT035,787.6414
FDU32,OUT049,1955.8540799999998
FDY27,OUT049,2926.7236400000006
NCP54,OUT013,2093.7412600000002
NCZ41,OUT049,1926.4923000000003
DRL49,OUT013,1970.96774
FDI05,OUT018,1306.7656599999998
FDY56,OUT045,5181.12244
DRC13,OUT013,1981.15448
NCV29,OUT017,4104.324100000001
FDR24,OUT049,1345.5818
FDZ34,OUT018,3021.00092
FDP37,OUT035,2239.4183000000003
FDX08,OUT027,4779.245559999999
FDS57,OUT045,1758.31122
NCG18,OUT049,1938.2769600000004
FDK25,OUT018,1893.6683600000001
FDH53,OUT049,1568.35848
DRI59,OUT018,2556.20594
FDA52,OUT046,2368.7832399999998
FDT20,OUT010,62.45204
FDE36,OUT019,550.15054
FDI24,OUT017,3222.27226
FDB28,OUT018,3223.73702
FDV11,OUT017,2732.6429399999997
FDP01,OUT046,1760.9078399999999
FDD34,OUT027,4289.0836
FDJ50,OUT027,1371.2816800000003
FDZ44,OUT013,1166.6813399999999
DRO59,OUT035,1233.59424
DRB48,OUT045,537.56692
FDR21,OUT018,2169.1764000000003
NCE42,OUT010,376.17699999999996
FDO23,OUT046,1452.0432200000002
NCE30,OUT018,3203.4967
FDQ22,OUT035,616.9302799999999
FDY01,OUT045,1712.83708
FDS08,OUT017,1905.2532799999997
FDG28,OUT018,2492.15598
FDQ51,OUT018,714.93604
FDB05,OUT017,4591.09048
FDO56,OUT049,1809.6444
FDE02,OUT018,1436.39692
FDN45,OUT017,3003.6235399999996
FDS09,OUT013,653.54928
NCA54,OUT018,2894.8984
FDP09,OUT010,430.63944000000004
FDC53,OUT045,1106.82592
NCM55,OUT017,3970.2985600000006
FDL09,OUT018,1967.6387400000003
FDA11,OUT019,281.69998
FDA50,OUT045,1601.6484799999998
FDC23,OUT017,3582.004
FDE22,OUT049,2572.18514
FDD23,OUT046,4810.8710599999995
